1982:Aaron sex(MALE),count(58)
1982:Aasma sex(FEMALE),count(1)
1982:Aazma sex(FEMALE),count(1)
1982:Abbas sex(MALE),count(1)
1982:Abbey sex(FEMALE),count(1)
1982:Abbi sex(FEMALE),count(2)
1982:Abbie sex(FEMALE),count(5)
1982:Abby sex(FEMALE),count(5)
1982:Abda sex(FEMALE),count(2)
1982:Abdal sex(MALE),count(1)
1982:Abdalwhab sex(MALE),count(1)
1982:Abdul sex(MALE),count(4)
1982:Abdullah sex(MALE),count(3)
1982:Abed sex(MALE),count(1)
1982:Abid sex(MALE),count(4)
1982:Abigail sex(FEMALE),count(22)
1982:Abnan sex(MALE),count(1)
1982:Abu sex(MALE),count(1)
1982:Achyut sex(MALE),count(1)
1982:Ada sex(FEMALE),count(1)
1982:Adaeze sex(FEMALE),count(1)
1982:Adair sex(MALE),count(1)
1982:Adaku sex(FEMALE),count(1)
1982:Adam sex(MALE),count(139)
1982:Adeba sex(FEMALE),count(1)
1982:Adeela sex(FEMALE),count(1)
1982:Adekunle sex(MALE),count(1)
1982:Adelaida sex(FEMALE),count(1)
1982:Adelaide sex(FEMALE),count(1)
1982:Adele sex(FEMALE),count(47)
1982:Adelene sex(FEMALE),count(1)
1982:Adelle sex(FEMALE),count(7)
1982:Adewale sex(MALE),count(1)
1982:Adil sex(MALE),count(3)
1982:Adinah sex(FEMALE),count(1)
1982:Adnan sex(MALE),count(3)
1982:Adrain sex(MALE),count(1)
1982:Adrian sex(MALE),count(35)
1982:Adriana sex(FEMALE),count(4)
1982:Adrianne sex(FEMALE),count(1)
1982:Adriano sex(MALE),count(1)
1982:Adrienne sex(FEMALE),count(5)
1982:Adrina sex(FEMALE),count(1)
1982:Aedan sex(MALE),count(1)
1982:Aeilidh sex(FEMALE),count(1)
1982:Aelred sex(FEMALE),count(1)
1982:Aeneas sex(MALE),count(1)
1982:Aerin sex(FEMALE),count(1)
1982:Afsha sex(FEMALE),count(1)
1982:Afshain sex(FEMALE),count(1)
1982:Afshan sex(FEMALE),count(4)
1982:Aftab sex(MALE),count(3)
1982:Afton sex(FEMALE),count(1)
1982:Afzal sex(MALE),count(1)
1982:Agathe sex(FEMALE),count(1)
1982:Agnes sex(FEMALE),count(9)
1982:Ahamed sex(MALE),count(1)
1982:Ahlam sex(FEMALE),count(1)
1982:Ahmad sex(MALE),count(4)
1982:Ahmade sex(MALE),count(1)
1982:Ahmed sex(MALE),count(5)
1982:Ahren sex(MALE),count(1)
1982:Ahsan-Ul-Haq sex(MALE),count(1)
1982:Ahshan sex(MALE),count(1)
1982:Ahsif sex(MALE),count(1)
1982:Ai sex(FEMALE),count(1)
1982:Aiasha sex(FEMALE),count(1)
1982:Aidan sex(MALE),count(10)
1982:Aidan sex(FEMALE),count(1)
1982:Aiden sex(MALE),count(3)
1982:Aidrian sex(MALE),count(1)
1982:Aiesha sex(FEMALE),count(1)
1982:Aihleen sex(FEMALE),count(1)
1982:Ailean sex(MALE),count(1)
1982:Aileen sex(FEMALE),count(55)
1982:Ailidh sex(FEMALE),count(4)
1982:Ailie sex(FEMALE),count(4)
1982:Ailsa sex(FEMALE),count(23)
1982:Aimee sex(FEMALE),count(15)
1982:Aimi sex(FEMALE),count(3)
1982:Aimie sex(FEMALE),count(1)
1982:Ainslay sex(FEMALE),count(1)
1982:Ainsley sex(MALE),count(1)
1982:Ainsley sex(FEMALE),count(15)
1982:Ainslie sex(FEMALE),count(2)
1982:Aisha sex(FEMALE),count(8)
1982:Aisleen sex(FEMALE),count(1)
1982:Aisling sex(FEMALE),count(2)
1982:Aiysha sex(FEMALE),count(1)
1982:Akash sex(MALE),count(1)
1982:Akemkar sex(MALE),count(1)
1982:Akhbar sex(MALE),count(1)
1982:Akintayo sex(MALE),count(1)
1982:Al-Farrazdak sex(MALE),count(1)
1982:Alaa sex(MALE),count(1)
